,,corr
garage_year_built_missing,garage_area,0.5363330077786217
garage_finish_missing,garage_area,0.5363330077786217
total_basement_sq_ft,basement_finished_sq_ft_1,0.5223960519923867
basement_finished_sq_ft_1,total_basement_sq_ft,0.5223960519923867
ground_liv_area,bedroom_above_ground,0.5212695109189948
bedroom_above_ground,ground_liv_area,0.5212695109189948
2nd_floor_sq_ft,bedroom_above_ground,0.5029006133459056
bedroom_above_ground,2nd_floor_sq_ft,0.5029006133459056
basement_unf_sq_ft,basement_finished_sq_ft_1,0.49525146925701125
basement_finished_sq_ft_1,basement_unf_sq_ft,0.49525146925701125
1st_floor_sq_ft,garage_area,0.4897816541041918
garage_area,1st_floor_sq_ft,0.4897816541041918
total_basement_sq_ft,garage_area,0.4866654637737961
garage_area,total_basement_sq_ft,0.4866654637737961
age_garage_when_sold,full_bath,0.48504733002669953
full_bath,age_garage_when_sold,0.48504733002669953
1st_floor_sq_ft,overall_quality,0.4762238290781779
overall_quality,1st_floor_sq_ft,0.4762238290781779
garage_cars,full_bath,0.469672043267628
full_bath,garage_cars,0.469672043267628
garage_area,ground_liv_area,0.4689974773229655
ground_liv_area,garage_area,0.4689974773229655
garage_cars,ground_liv_area,0.4672474187951873
ground_liv_area,garage_cars,0.4672474187951873
ground_liv_area,fireplaces,0.46167913376144704
fireplaces,ground_liv_area,0.46167913376144704
lot_frontage,1st_floor_sq_ft,0.45718100199465517
1st_floor_sq_ft,lot_frontage,0.45718100199465517
ground_liv_area,total_basement_sq_ft,0.45486820254790317
total_basement_sq_ft,ground_liv_area,0.45486820254790317
basement_finished_sq_ft_1,1st_floor_sq_ft,0.4458626560920054
1st_floor_sq_ft,basement_finished_sq_ft_1,0.4458626560920054
fireplace_qu_missing,ground_liv_area,0.44529900159524877
ground_liv_area,fireplace_qu_missing,0.44529900159524877
full_bath,age_house_when_sold,0.4403432846604732
age_house_when_sold,full_bath,0.4403432846604732
1st_floor_sq_ft,garage_cars,0.4393168079906709
garage_cars,1st_floor_sq_ft,0.4393168079906709
fireplace_qu_missing,overall_quality,0.4381425539986529
overall_quality,fireplace_qu_missing,0.4381425539986529
garage_cars,total_basement_sq_ft,0.43458483429168865
total_basement_sq_ft,garage_cars,0.43458483429168865
tot_rooms_above_ground,overall_quality,0.42745234327798975
overall_quality,tot_rooms_above_ground,0.42745234327798975
lot_area,lot_frontage,0.4260950187718081
lot_frontage,lot_area,0.4260950187718081
garage_cars,age_house_when_sold,0.4231971335842539
age_house_when_sold,garage_cars,0.4231971335842539
basement_full_bath,basement_unf_sq_ft,0.42290047738321335
basement_unf_sq_ft,basement_full_bath,0.42290047738321335
full_bath,2nd_floor_sq_ft,0.4213779828759713
2nd_floor_sq_ft,full_bath,0.4213779828759713
half_bath,ground_liv_area,0.4157716361052652
ground_liv_area,half_bath,0.4157716361052652
total_basement_sq_ft,basement_unf_sq_ft,0.4153596051815893
basement_unf_sq_ft,total_basement_sq_ft,0.4153596051815893
overall_quality,masonry_veneer_area,0.4118756672776833
masonry_veneer_area,overall_quality,0.4118756672776833
fireplaces,1st_floor_sq_ft,0.41053108465984556
1st_floor_sq_ft,fireplaces,0.41053108465984556
1st_floor_sq_ft,tot_rooms_above_ground,0.40951597886683183
tot_rooms_above_ground,1st_floor_sq_ft,0.40951597886683183
full_bath,garage_area,0.4056562084540099
garage_area,full_bath,0.4056562084540099
lot_frontage,ground_liv_area,0.40279741408531955
ground_liv_area,lot_frontage,0.40279741408531955
fireplaces,overall_quality,0.39676503795208906
overall_quality,fireplaces,0.39676503795208906
lot_frontage,total_basement_sq_ft,0.3920745763791721
total_basement_sq_ft,lot_frontage,0.3920745763791721
ground_liv_area,masonry_veneer_area,0.39085663973843854
masonry_veneer_area,ground_liv_area,0.39085663973843854
full_bath,1st_floor_sq_ft,0.3806374949735071
1st_floor_sq_ft,full_bath,0.3806374949735071
1st_floor_sq_ft,fireplace_qu_missing,0.37451799131868413
fireplace_qu_missing,1st_floor_sq_ft,0.37451799131868413
age_house_when_sold,garage_area,0.3733972373450462
garage_area,age_house_when_sold,0.3733972373450462
garage_area,masonry_veneer_area,0.37306648160023664
masonry_veneer_area,garage_area,0.37306648160023664
masonry_veneer_area,garage_cars,0.3642036400698656
garage_cars,masonry_veneer_area,0.3642036400698656
total_basement_sq_ft,masonry_veneer_area,0.3639362217744723
masonry_veneer_area,total_basement_sq_ft,0.3639362217744723
full_bath,bedroom_above_ground,0.36325198302327694
bedroom_above_ground,full_bath,0.36325198302327694
garage_cars,tot_rooms_above_ground,0.3622885708147746
tot_rooms_above_ground,garage_cars,0.3622885708147746
tot_rooms_above_ground,lot_frontage,0.3520959476602243
lot_frontage,tot_rooms_above_ground,0.3520959476602243
fireplace_qu_missing,garage_cars,0.34950093688364564
garage_cars,fireplace_qu_missing,0.34950093688364564
lot_frontage,garage_area,0.3449967241064819
garage_area,lot_frontage,0.3449967241064819
1st_floor_sq_ft,masonry_veneer_area,0.3445007468899248
masonry_veneer_area,1st_floor_sq_ft,0.3445007468899248
tot_rooms_above_ground,half_bath,0.3434148575409178
half_bath,tot_rooms_above_ground,0.3434148575409178
fireplaces,total_basement_sq_ft,0.33951932389865597
total_basement_sq_ft,fireplaces,0.33951932389865597
garage_area,tot_rooms_above_ground,0.33782212063683786
tot_rooms_above_ground,garage_area,0.33782212063683786
tot_rooms_above_ground,fireplace_qu_missing,0.3303821503753735
fireplace_qu_missing,tot_rooms_above_ground,0.3303821503753735
ground_liv_area,open_porch_sq_ft,0.33022396171200064
open_porch_sq_ft,ground_liv_area,0.33022396171200064
tot_rooms_above_ground,fireplaces,0.3261144801772001
fireplaces,tot_rooms_above_ground,0.3261144801772001
total_basement_sq_ft,full_bath,0.3237224136066502
full_bath,total_basement_sq_ft,0.3237224136066502
total_basement_sq_ft,age_garage_when_sold,0.32271246214967714
age_garage_when_sold,total_basement_sq_ft,0.32271246214967714
1st_floor_sq_ft,basement_unf_sq_ft,0.3179874383527259
basement_unf_sq_ft,1st_floor_sq_ft,0.3179874383527259
fireplace_qu_missing,total_basement_sq_ft,0.30942255986058964
total_basement_sq_ft,fireplace_qu_missing,0.30942255986058964
overall_quality,open_porch_sq_ft,0.3088188233594523
open_porch_sq_ft,overall_quality,0.3088188233594523
overall_quality,basement_unf_sq_ft,0.30815892690564284
basement_unf_sq_ft,overall_quality,0.30815892690564284
basement_full_bath,total_basement_sq_ft,0.30735055373550346
total_basement_sq_ft,basement_full_bath,0.30735055373550346
garage_area,fireplace_qu_missing,0.3041748152834707
fireplace_qu_missing,garage_area,0.3041748152834707
fireplaces,garage_cars,0.3007887663013562
garage_cars,fireplaces,0.3007887663013562
1st_floor_sq_ft,lot_area,0.29947457850776266
lot_area,1st_floor_sq_ft,0.29947457850776266
basement_finished_sq_ft_1,garage_area,0.2969703853445138
garage_area,basement_finished_sq_ft_1,0.2969703853445138
age_garage_when_sold,enclosed_porch,0.29627276638780436
enclosed_porch,age_garage_when_sold,0.29627276638780436
overall_quality,2nd_floor_sq_ft,0.29549287919970985
2nd_floor_sq_ft,overall_quality,0.29549287919970985
age_house_when_sold,total_basement_sq_ft,0.29194928542051496
total_basement_sq_ft,age_house_when_sold,0.29194928542051496
ground_liv_area,age_house_when_sold,0.28961611500083606
age_house_when_sold,ground_liv_area,0.28961611500083606
full_bath,basement_unf_sq_ft,0.2888860554869108
basement_unf_sq_ft,full_bath,0.2888860554869108
full_bath,fireplace_qu_missing,0.28871331594959276
fireplace_qu_missing,full_bath,0.28871331594959276
lot_frontage,garage_cars,0.2856909246851005
garage_cars,lot_frontage,0.2856909246851005
total_basement_sq_ft,tot_rooms_above_ground,0.28557256372579454
tot_rooms_above_ground,total_basement_sq_ft,0.28557256372579454
masonry_veneer_area,tot_rooms_above_ground,0.2806816946085068
tot_rooms_above_ground,masonry_veneer_area,0.2806816946085068
full_bath,masonry_veneer_area,0.27683284723698837
masonry_veneer_area,full_bath,0.27683284723698837
overall_quality,half_bath,0.2734580986427702
half_bath,overall_quality,0.2734580986427702
fireplaces,lot_area,0.2713640096245418
lot_area,fireplaces,0.2713640096245418
fireplaces,garage_area,0.2691412380738719
garage_area,fireplaces,0.2691412380738719
fireplaces,lot_frontage,0.26663948256030306
lot_frontage,fireplaces,0.26663948256030306
basement_finished_sq_ft_1,masonry_veneer_area,0.2647362647138685
masonry_veneer_area,basement_finished_sq_ft_1,0.2647362647138685
lot_frontage,bedroom_above_ground,0.263169915881059
bedroom_above_ground,lot_frontage,0.263169915881059
lot_area,ground_liv_area,0.26311616716714803
ground_liv_area,lot_area,0.26311616716714803
overall_quality,garage_type_missing,0.2619679600583309
garage_type_missing,overall_quality,0.2619679600583309
garage_finish_missing,overall_quality,0.2619679600583309
overall_quality,garage_condition_missing,0.2619679600583309
garage_year_built_missing,overall_quality,0.2619679600583309
overall_quality,garage_quality_missing,0.2619679600583309
garage_condition_missing,overall_quality,0.2619679600583309
garage_quality_missing,overall_quality,0.2619679600583309
overall_quality,garage_finish_missing,0.2619679600583309
overall_quality,garage_year_built_missing,0.2619679600583309
total_basement_sq_ft,lot_area,0.2608331345451572
lot_area,total_basement_sq_ft,0.2608331345451572
fireplace_qu_missing,masonry_veneer_area,0.26035592761371007
masonry_veneer_area,fireplace_qu_missing,0.26035592761371007
basement_finished_sq_ft_1,fireplaces,0.2600109202350403
fireplaces,basement_finished_sq_ft_1,0.2600109202350403
open_porch_sq_ft,full_bath,0.25997742546824865
full_bath,open_porch_sq_ft,0.25997742546824865
tot_rooms_above_ground,kitchen_above_ground,0.2560454085359489
kitchen_above_ground,tot_rooms_above_ground,0.2560454085359489
masonry_veneer_area,age_garage_when_sold,0.2525570708981855
age_garage_when_sold,masonry_veneer_area,0.2525570708981855
overall_quality,lot_frontage,0.2516457754806124
lot_frontage,overall_quality,0.2516457754806124
tot_rooms_above_ground,basement_unf_sq_ft,0.25064706137624926
basement_unf_sq_ft,tot_rooms_above_ground,0.25064706137624926
masonry_veneer_area,fireplaces,0.24906961283714313
fireplaces,masonry_veneer_area,0.24906961283714313
wood_deck_sq_ft,ground_liv_area,0.24743282051884846
ground_liv_area,wood_deck_sq_ft,0.24743282051884846
total_basement_sq_ft,open_porch_sq_ft,0.2472637462881078
open_porch_sq_ft,total_basement_sq_ft,0.2472637462881078
1st_floor_sq_ft,basement_full_bath,0.24467110424771052
basement_full_bath,1st_floor_sq_ft,0.24467110424771052
full_bath,fireplaces,0.2436705030799116
fireplaces,full_bath,0.2436705030799116
open_porch_sq_ft,garage_area,0.2414346721380881
garage_area,open_porch_sq_ft,0.2414346721380881
age_house_when_sold,1st_floor_sq_ft,0.2411493647411092
1st_floor_sq_ft,age_house_when_sold,0.2411493647411092
basement_unf_sq_ft,ground_liv_area,0.240257268349935
ground_liv_area,basement_unf_sq_ft,0.240257268349935
basement_finished_sq_ft_1,overall_quality,0.23966596617889105
overall_quality,basement_finished_sq_ft_1,0.23966596617889105
overall_quality,wood_deck_sq_ft,0.23892339224918593
wood_deck_sq_ft,overall_quality,0.23892339224918593
lot_frontage,fireplace_qu_missing,0.23667386408231836
fireplace_qu_missing,lot_frontage,0.23667386408231836
1st_floor_sq_ft,wood_deck_sq_ft,0.23545862278369778
wood_deck_sq_ft,1st_floor_sq_ft,0.23545862278369778
tot_rooms_above_ground,open_porch_sq_ft,0.2341915878315988
open_porch_sq_ft,tot_rooms_above_ground,0.2341915878315988
1st_floor_sq_ft,age_garage_when_sold,0.2339828368886553
age_garage_when_sold,1st_floor_sq_ft,0.2339828368886553
basement_finished_sq_ft_1,lot_frontage,0.233633167019755
lot_frontage,basement_finished_sq_ft_1,0.233633167019755
age_garage_when_sold,ground_liv_area,0.23300990618623013
ground_liv_area,age_garage_when_sold,0.23300990618623013
total_basement_sq_ft,wood_deck_sq_ft,0.23201860912901803
wood_deck_sq_ft,total_basement_sq_ft,0.23201860912901803
open_porch_sq_ft,age_garage_when_sold,0.2318466837147826
age_garage_when_sold,open_porch_sq_ft,0.2318466837147826
age_house_when_sold,open_porch_sq_ft,0.2298857678683389
open_porch_sq_ft,age_house_when_sold,0.2298857678683389
bedroom_above_ground,half_bath,0.22665148415094508
half_bath,bedroom_above_ground,0.22665148415094508
wood_deck_sq_ft,garage_cars,0.2263421384698597
garage_cars,wood_deck_sq_ft,0.2263421384698597
wood_deck_sq_ft,garage_area,0.2246663071787637
garage_area,wood_deck_sq_ft,0.2246663071787637
half_bath,fireplace_qu_missing,0.22428594580721858
fireplace_qu_missing,half_bath,0.22428594580721858
garage_cars,basement_finished_sq_ft_1,0.22405352239399068
basement_finished_sq_ft_1,garage_cars,0.22405352239399068
age_garage_when_sold,wood_deck_sq_ft,0.22324642973079314
wood_deck_sq_ft,age_garage_when_sold,0.22324642973079314
wood_deck_sq_ft,fireplace_qu_missing,0.22150483744575833
fireplace_qu_missing,wood_deck_sq_ft,0.22150483744575833
garage_cars,half_bath,0.21917815216716094
half_bath,garage_cars,0.21917815216716094
garage_cars,basement_unf_sq_ft,0.2141751897502169
basement_unf_sq_ft,garage_cars,0.2141751897502169
basement_finished_sq_ft_1,lot_area,0.21410313070557713
lot_area,basement_finished_sq_ft_1,0.21410313070557713
open_porch_sq_ft,garage_cars,0.21356944558969115
garage_cars,open_porch_sq_ft,0.21356944558969115
1st_floor_sq_ft,open_porch_sq_ft,0.2116712254979847
open_porch_sq_ft,1st_floor_sq_ft,0.2116712254979847
2nd_floor_sq_ft,fireplace_qu_missing,0.20817471275792773
fireplace_qu_missing,2nd_floor_sq_ft,0.20817471275792773
ground_liv_area,basement_finished_sq_ft_1,0.20817113014532704
basement_finished_sq_ft_1,ground_liv_area,0.20817113014532704
open_porch_sq_ft,2nd_floor_sq_ft,0.2080260631813579
2nd_floor_sq_ft,open_porch_sq_ft,0.2080260631813579
age_house_when_sold,wood_deck_sq_ft,0.2043179079537521
wood_deck_sq_ft,age_house_when_sold,0.2043179079537521
basement_finished_sq_ft_1,wood_deck_sq_ft,0.20430614523740265
wood_deck_sq_ft,basement_finished_sq_ft_1,0.20430614523740265
half_bath,fireplaces,0.20364850809521917
fireplaces,half_bath,0.20364850809521917
2nd_floor_sq_ft,1st_floor_sq_ft,0.20264618100232087
1st_floor_sq_ft,2nd_floor_sq_ft,0.20264618100232087
garage_type_missing,fireplace_qu_missing,0.20208556145550435
fireplace_qu_missing,garage_quality_missing,0.20208556145550435
fireplace_qu_missing,garage_condition_missing,0.20208556145550435
garage_condition_missing,fireplace_qu_missing,0.20208556145550435
garage_quality_missing,fireplace_qu_missing,0.20208556145550435
garage_finish_missing,fireplace_qu_missing,0.20208556145550435
fireplace_qu_missing,garage_year_built_missing,0.20208556145550435
garage_year_built_missing,fireplace_qu_missing,0.20208556145550435
fireplace_qu_missing,garage_type_missing,0.20208556145550435
fireplace_qu_missing,garage_finish_missing,0.20208556145550435
masonry_veneer_area,half_bath,0.20144394692967832
half_bath,masonry_veneer_area,0.20144394692967832
wood_deck_sq_ft,fireplaces,0.20001879575902368
fireplaces,wood_deck_sq_ft,0.20001879575902368
open_porch_sq_ft,half_bath,0.19974014751279254
half_bath,open_porch_sq_ft,0.19974014751279254
lot_frontage,full_bath,0.19876867789737823
full_bath,lot_frontage,0.19876867789737823
bedroom_above_ground,kitchen_above_ground,0.1985967577071338
kitchen_above_ground,bedroom_above_ground,0.1985967577071338
half_bath,age_garage_when_sold,0.1973921054093046
age_garage_when_sold,half_bath,0.1973921054093046
fireplaces,2nd_floor_sq_ft,0.19456089224132392
2nd_floor_sq_ft,fireplaces,0.19456089224132392
age_house_when_sold,tot_rooms_above_ground,0.19392062877770203
tot_rooms_above_ground,age_house_when_sold,0.19392062877770203
lot_frontage,masonry_veneer_area,0.19345806055826867
masonry_veneer_area,lot_frontage,0.19345806055826867
age_house_when_sold,enclosed_porch,0.19332114496460717
enclosed_porch,age_house_when_sold,0.19332114496460717
age_garage_when_sold,basement_unf_sq_ft,0.19280261113592104
basement_unf_sq_ft,age_garage_when_sold,0.19280261113592104
tot_rooms_above_ground,lot_area,0.190014777625409
lot_area,tot_rooms_above_ground,0.190014777625409
wood_deck_sq_ft,full_bath,0.18770321383582822
full_bath,wood_deck_sq_ft,0.18770321383582822
basement_finished_sq_ft_1,fireplace_qu_missing,0.18453652227036244
fireplace_qu_missing,basement_finished_sq_ft_1,0.18453652227036244
screen_porch,fireplaces,0.18453026951684842
fireplaces,screen_porch,0.18453026951684842
garage_condition_missing,fireplaces,0.18410997360485631
garage_quality_missing,fireplaces,0.18410997360485631
garage_finish_missing,fireplaces,0.18410997360485631
garage_year_built_missing,fireplaces,0.18410997360485631
garage_type_missing,fireplaces,0.18410997360485631
fireplaces,garage_year_built_missing,0.18410997360485631
fireplaces,garage_type_missing,0.18410997360485631
fireplaces,garage_finish_missing,0.18410997360485631
fireplaces,garage_quality_missing,0.18410997360485631
fireplaces,garage_condition_missing,0.18410997360485631
age_house_when_sold,half_bath,0.18399974882780626
half_bath,age_house_when_sold,0.18399974882780626
2nd_floor_sq_ft,garage_cars,0.18392558307638002
garage_cars,2nd_floor_sq_ft,0.18392558307638002
overall_quality,kitchen_above_ground,0.18388223454922156
kitchen_above_ground,overall_quality,0.18388223454922156
age_house_when_sold,basement_unf_sq_ft,0.18381308652819273
basement_unf_sq_ft,age_house_when_sold,0.18381308652819273
garage_area,basement_unf_sq_ft,0.18330269774258412
basement_unf_sq_ft,garage_area,0.18330269774258412
lot_area,fireplace_qu_missing,0.18282709148346596
fireplace_qu_missing,lot_area,0.18282709148346596
garage_area,lot_area,0.1804027551511169
lot_area,garage_area,0.1804027551511169
masonry_veneer_area,age_house_when_sold,0.18006843514266727
age_house_when_sold,masonry_veneer_area,0.18006843514266727
garage_area,basement_full_bath,0.179189480420231
basement_full_bath,garage_area,0.179189480420231
wood_deck_sq_ft,basement_full_bath,0.17531519007972224
basement_full_bath,wood_deck_sq_ft,0.17531519007972224
2nd_floor_sq_ft,masonry_veneer_area,0.1745614734574279
masonry_veneer_area,2nd_floor_sq_ft,0.1745614734574279
2nd_floor_sq_ft,total_basement_sq_ft,0.17451195013496046
total_basement_sq_ft,2nd_floor_sq_ft,0.17451195013496046
open_porch_sq_ft,fireplace_qu_missing,0.17348775990695314
fireplace_qu_missing,open_porch_sq_ft,0.17348775990695314
fireplace_qu_missing,age_house_when_sold,0.17281549466822915
age_house_when_sold,fireplace_qu_missing,0.17281549466822915
wood_deck_sq_ft,lot_area,0.17169768725711246
lot_area,wood_deck_sq_ft,0.17169768725711246
2nd_floor_sq_ft,basement_full_bath,0.16949395173099896
basement_full_bath,2nd_floor_sq_ft,0.16949395173099896
fireplaces,open_porch_sq_ft,0.16940532713120185
open_porch_sq_ft,fireplaces,0.16940532713120185
basement_unf_sq_ft,bedroom_above_ground,0.16664331698696289
bedroom_above_ground,basement_unf_sq_ft,0.16664331698696289
tot_rooms_above_ground,wood_deck_sq_ft,0.16598388371493233
wood_deck_sq_ft,tot_rooms_above_ground,0.16598388371493233
half_bath,garage_area,0.1635493640166073
garage_area,half_bath,0.1635493640166073
garage_quality_missing,total_basement_sq_ft,0.1600981570760924
total_basement_sq_ft,garage_quality_missing,0.1600981570760924
total_basement_sq_ft,garage_finish_missing,0.1600981570760924
total_basement_sq_ft,garage_year_built_missing,0.1600981570760924
total_basement_sq_ft,garage_type_missing,0.1600981570760924
garage_year_built_missing,total_basement_sq_ft,0.1600981570760924
garage_finish_missing,total_basement_sq_ft,0.1600981570760924
total_basement_sq_ft,garage_condition_missing,0.1600981570760924
garage_type_missing,total_basement_sq_ft,0.1600981570760924
garage_condition_missing,total_basement_sq_ft,0.1600981570760924
wood_deck_sq_ft,masonry_veneer_area,0.15971813436595433
masonry_veneer_area,wood_deck_sq_ft,0.15971813436595433
lot_area,basement_full_bath,0.15815453106001476
basement_full_bath,lot_area,0.15815453106001476
garage_cars,lot_area,0.15487073975354076
lot_area,garage_cars,0.15487073975354076
kitchen_above_ground,fireplace_qu_missing,0.15486128163829238
fireplace_qu_missing,kitchen_above_ground,0.15486128163829238
garage_quality_missing,1st_floor_sq_ft,0.15484633443073714
1st_floor_sq_ft,garage_condition_missing,0.15484633443073714
1st_floor_sq_ft,garage_quality_missing,0.15484633443073714
1st_floor_sq_ft,garage_year_built_missing,0.15484633443073714
1st_floor_sq_ft,garage_type_missing,0.15484633443073714
garage_condition_missing,1st_floor_sq_ft,0.15484633443073714
1st_floor_sq_ft,garage_finish_missing,0.15484633443073714
garage_type_missing,1st_floor_sq_ft,0.15484633443073714
garage_finish_missing,1st_floor_sq_ft,0.15484633443073714
garage_year_built_missing,1st_floor_sq_ft,0.15484633443073714
garage_year_built_missing,kitchen_above_ground,0.15251530759561235
kitchen_above_ground,garage_quality_missing,0.15251530759561235
garage_finish_missing,kitchen_above_ground,0.15251530759561235
kitchen_above_ground,garage_condition_missing,0.15251530759561235
kitchen_above_ground,garage_type_missing,0.15251530759561235
garage_quality_missing,kitchen_above_ground,0.15251530759561235
kitchen_above_ground,garage_finish_missing,0.15251530759561235
kitchen_above_ground,garage_year_built_missing,0.15251530759561235
garage_type_missing,kitchen_above_ground,0.15251530759561235
garage_condition_missing,kitchen_above_ground,0.15251530759561235
age_garage_when_sold,basement_finished_sq_ft_1,0.1522983781448128
basement_finished_sq_ft_1,age_garage_when_sold,0.1522983781448128
open_porch_sq_ft,lot_frontage,0.15197222768060642
lot_frontage,open_porch_sq_ft,0.15197222768060642
age_house_when_sold,kitchen_above_ground,0.15166954717692255
kitchen_above_ground,age_house_when_sold,0.15166954717692255
garage_cars,enclosed_porch,0.15143416002683724
enclosed_porch,garage_cars,0.15143416002683724
garage_condition_missing,ground_liv_area,0.15101472249492842
garage_quality_missing,ground_liv_area,0.15101472249492842
garage_type_missing,ground_liv_area,0.15101472249492842
garage_finish_missing,ground_liv_area,0.15101472249492842
ground_liv_area,garage_type_missing,0.15101472249492842
ground_liv_area,garage_year_built_missing,0.15101472249492842
garage_year_built_missing,ground_liv_area,0.15101472249492842
ground_liv_area,garage_condition_missing,0.15101472249492842
ground_liv_area,garage_quality_missing,0.15101472249492842
ground_liv_area,garage_finish_missing,0.15101472249492842
basement_full_bath,bedroom_above_ground,0.15067280920795623
bedroom_above_ground,basement_full_bath,0.15067280920795623
fireplace_qu_missing,screen_porch,0.15024331300802748
screen_porch,fireplace_qu_missing,0.15024331300802748
age_garage_when_sold,tot_rooms_above_ground,0.14997298779431667
